s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 2.1011606E+001, 5.7339039E+001, 4.3680614E+001, 1.3217024E+001, 4.8526639E-002, 3.9241767E-001, 4.8483221E-005, 1.0666309E-004, 0.0000000E+000, 0.0000000E+000, 3.0161233E-004, 5.7262723E+001, 3.0161233E-004, 7.6014522E-002
 2.2016237E+001, 5.7339378E+001, 4.3680614E+001, 1.3215859E+001, 4.9565346E-002, 3.9287711E-001, 5.1922491E-005, 1.1422948E-004, 0.0000000E+000, 0.0000000E+000, 2.9635140E-004, 5.7257675E+001, 2.9635140E-004, 8.1406789E-002
 2.3017399E+001, 5.7339727E+001, 4.3680614E+001, 1.3214685E+001, 5.0611823E-002, 3.9333999E-001, 5.5387484E-005, 1.2185247E-004, 0.0000000E+000, 0.0000000E+000, 2.9908113E-004, 5.7252589E+001, 2.9908113E-004, 8.6839387E-002
 2.4012989E+001, 5.7340083E+001, 4.3680614E+001, 1.3213550E+001, 5.1623262E-002, 3.9378737E-001, 5.8736467E-005, 1.2922023E-004, 0.0000000E+000, 0.0000000E+000, 3.1953505E-004, 5.7247673E+001, 3.1953505E-004, 9.2090096E-002
 2.5008968E+001, 5.7340442E+001, 4.3680614E+001, 1.3212250E+001, 5.2782126E-002, 3.9429995E-001, 6.2573587E-005, 1.3766189E-004, 0.0000000E+000, 0.0000000E+000, 2.9537788E-004, 5.7242041E+001, 2.9537788E-004, 9.8106133E-002
 2.6017967E+001, 5.7340808E+001, 4.3680614E+001, 1.3211084E+001, 5.3821979E-002, 3.9475990E-001, 6.6016650E-005, 1.4523663E-004, 0.0000000E+000, 0.0000000E+000, 3.1717737E-004, 5.7236987E+001, 3.1717737E-004, 1.0350435E-001
 2.7007692E+001, 5.7341175E+001, 4.3680614E+001, 1.3209855E+001, 5.4917131E-002, 3.9524431E-001, 6.9642813E-005, 1.5321419E-004, 0.0000000E+000, 0.0000000E+000, 3.2124753E-004, 5.7231664E+001, 3.2124753E-004, 1.0918963E-001
 2.8016375E+001, 5.7341543E+001, 4.3680614E+001, 1.3208648E+001, 5.5993672E-002, 3.9572048E-001, 7.3207354E-005, 1.6105618E-004, 0.0000000E+000, 0.0000000E+000, 3.3238063E-004, 5.7226432E+001, 3.3238063E-004, 1.1477831E-001
 2.9007013E+001, 5.7341910E+001, 4.3680614E+001, 1.3207412E+001, 5.7094925E-002, 3.9620759E-001, 7.6853717E-005, 1.6907818E-004, 0.0000000E+000, 0.0000000E+000, 3.3512209E-004, 5.7221080E+001, 3.3512209E-004, 1.2049527E-001
 3.0002897E+001, 5.7342273E+001, 4.3680614E+001, 1.3206189E+001, 5.8185706E-002, 3.9669006E-001, 8.0465410E-005, 1.7702390E-004, 0.0000000E+000, 0.0000000E+000, 3.3756185E-004, 5.7215778E+001, 3.3756185E-004, 1.2615787E-001
 3.1010572E+001, 5.7342639E+001, 4.3680614E+001, 1.3204925E+001, 5.9312063E-002, 3.9718827E-001, 8.4194897E-005, 1.8522877E-004, 0.0000000E+000, 0.0000000E+000, 3.2984479E-004, 5.7210304E+001, 3.2984479E-004, 1.3200515E-001
 3.2010242E+001, 5.7343001E+001, 4.3680614E+001, 1.3203719E+001, 6.0386778E-002, 3.9766364E-001, 8.7753388E-005, 1.9305745E-004, 0.0000000E+000, 0.0000000E+000, 3.3656215E-004, 5.7205080E+001, 3.3656215E-004, 1.3758434E-001
 3.3000172E+001, 5.7343356E+001, 4.3680614E+001, 1.3202392E+001, 6.1569879E-002, 3.9818694E-001, 9.1670763E-005, 2.0167568E-004, 0.0000000E+000, 0.0000000E+000, 2.9974964E-004, 5.7199330E+001, 2.9974964E-004, 1.4372620E-001
 3.4003151E+001, 5.7343705E+001, 4.3680614E+001, 1.3201332E+001, 6.2514923E-002, 3.9860495E-001, 9.4799901E-005, 2.0855978E-004, 0.0000000E+000, 0.0000000E+000, 3.3601004E-004, 5.7194737E+001, 3.3601004E-004, 1.4863223E-001
 3.5004128E+001, 5.7344051E+001, 4.3680614E+001, 1.3200129E+001, 6.3587594E-002, 3.9907942E-001, 9.8351627E-005, 2.1637358E-004, 0.0000000E+000, 0.0000000E+000, 3.2657093E-004, 5.7189524E+001, 3.2657093E-004, 1.5420081E-001
 3.6020294E+001, 5.7344393E+001, 4.3680614E+001, 1.3198905E+001, 6.4678066E-002, 3.9956175E-001, 1.0196230E-004, 2.2431705E-004, 0.0000000E+000, 0.0000000E+000, 3.0722826E-004, 5.7184224E+001, 3.0722826E-004, 1.5986181E-001
 3.7001766E+001, 5.7344727E+001, 4.3680614E+001, 1.3197815E+001, 6.5650184E-002, 3.9999174E-001, 1.0518108E-004, 2.3139838E-004, 0.0000000E+000, 0.0000000E+000, 3.1916232E-004, 5.7179499E+001, 3.1916232E-004, 1.6490838E-001
 3.8002750E+001, 5.7345055E+001, 4.3680614E+001, 1.3196615E+001, 6.6720262E-002, 4.0046506E-001, 1.0872422E-004, 2.3919329E-004, 0.0000000E+000, 0.0000000E+000, 2.9319148E-004, 5.7174298E+001, 2.9319148E-004, 1.7046351E-001
 3.9010948E+001, 5.7345385E+001, 4.3680614E+001, 1.3195499E+001, 6.7714913E-002, 4.0090501E-001, 1.1201762E-004, 2.4643875E-004, 0.0000000E+000, 0.0000000E+000, 2.9412963E-004, 5.7169464E+001, 2.9412963E-004, 1.7562706E-001
 4.0007145E+001, 5.7345715E+001, 4.3680614E+001, 1.3194405E+001, 6.8689573E-002, 4.0133612E-001, 1.1524482E-004, 2.5353860E-004, 0.0000000E+000, 0.0000000E+000, 3.0064414E-004, 5.7164727E+001, 3.0064414E-004, 1.8068684E-001
 4.1020447E+001, 5.7346045E+001, 4.3680614E+001, 1.3193205E+001, 6.9759643E-002, 4.0180943E-001, 1.1878793E-004, 2.6133345E-004, 0.0000000E+000, 0.0000000E+000, 2.7633511E-004, 5.7159526E+001, 2.7633511E-004, 1.8624192E-001
 4.2003708E+001, 5.7346375E+001, 4.3680614E+001, 1.3192126E+001, 7.0721606E-002, 4.0223493E-001, 1.2197309E-004, 2.6834080E-004, 0.0000000E+000, 0.0000000E+000, 2.8802499E-004, 5.7154851E+001, 2.8802499E-004, 1.9123578E-001
 4.3013508E+001, 5.7346707E+001, 4.3680614E+001, 1.3191040E+001, 7.1689369E-002, 4.0266299E-001, 1.2517746E-004, 2.7539041E-004, 0.0000000E+000, 0.0000000E+000, 2.9957936E-004, 5.7150147E+001, 2.9957936E-004, 1.9625975E-001
 4.4005196E+001, 5.7347044E+001, 4.3680614E+001, 1.3189782E+001, 7.2810527E-002, 4.0315890E-001, 1.2888973E-004, 2.8355740E-004, 0.0000000E+000, 0.0000000E+000, 2.6554484E-004, 5.7144698E+001, 2.6554484E-004, 2.0208004E-001
 4.5005318E+001, 5.7347384E+001, 4.3680614E+001, 1.3188672E+001, 7.3800639E-002, 4.0359684E-001, 1.3216809E-004, 2.9076981E-004, 0.0000000E+000, 0.0000000E+000, 2.7747317E-004, 5.7139886E+001, 2.7747317E-004, 2.0722003E-001
