s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 1.6002148E+002, 1.8492960E+001, 0.0000000E+000,-8.2636519E+000,-1.1409118E-005,-9.2108530E+000, 0.0000000E+000, 4.8521092E-001, 0.0000000E+000, 1.5321871E+000, 1.5036543E+000, 0.0000000E+000, 5.4265681E-004, 0.0000000E+000, 7.9095644E+003
 1.6100691E+002, 2.4805596E+001, 0.0000000E+000,-1.0396023E+001,-3.7120312E-006,-9.1512988E+000, 0.0000000E+000, 2.1148338E+000, 0.0000000E+000, 7.2315707E+000, 7.3731046E+000, 0.0000000E+000, 5.4313497E-004, 0.0000000E+000, 7.9526778E+003
 1.6201607E+002, 2.5896642E+001, 0.0000000E+000,-1.0406349E+001,-6.5017666E-006,-9.1262832E+000, 0.0000000E+000, 2.6248331E+000, 0.0000000E+000, 9.0613873E+000, 8.9888360E+000, 0.0000000E+000, 5.4219059E-004, 0.0000000E+000, 8.0083894E+003
 1.6300006E+002, 2.7769037E+001, 0.0000000E+000,-1.1203603E+001, 1.5582786E-005,-9.1332372E+000, 0.0000000E+000, 3.0567534E+000, 0.0000000E+000, 1.0592949E+001, 1.0488966E+001, 0.0000000E+000, 5.4026827E-004, 0.0000000E+000, 8.0717312E+003
 1.6401064E+002, 1.9079026E+001, 0.0000000E+000,-8.4378317E+000,-8.2806044E-007,-9.0491683E+000, 0.0000000E+000, 7.1705731E-001, 0.0000000E+000, 2.3690539E+000, 2.3090824E+000, 0.0000000E+000, 5.3742836E-004, 0.0000000E+000, 8.0870197E+003
 1.6500871E+002, 2.8567027E+001, 0.0000000E+000,-1.1689540E+001, 1.0744221E-006,-9.0381375E+000, 0.0000000E+000, 3.1297362E+000, 0.0000000E+000, 1.0760806E+001, 1.0969087E+001, 0.0000000E+000, 5.3357689E-004, 0.0000000E+000, 8.1516749E+003
 1.6600043E+002, 2.7351668E+001, 0.0000000E+000,-1.0665356E+001, 1.4607071E-005,-9.1022365E+000, 0.0000000E+000, 3.1678687E+000, 0.0000000E+000, 1.1037967E+001, 1.0751959E+001, 0.0000000E+000, 5.2886400E-004, 0.0000000E+000, 8.2184756E+003
 1.6701268E+002, 2.3214576E+001, 0.0000000E+000,-1.0024923E+001,-3.0750570E-006,-9.3269351E+000, 0.0000000E+000, 1.5936700E+000, 0.0000000E+000, 5.4271754E+000, 5.4563851E+000, 0.0000000E+000, 5.2392197E-004, 0.0000000E+000, 8.2520931E+003
 1.6800746E+002, 4.0034089E+001, 0.0000000E+000,-1.6236094E+001,-2.1171529E-006,-9.4163447E+000, 0.0000000E+000, 5.7800276E+000, 0.0000000E+000, 2.0147394E+001, 2.0161677E+001, 0.0000000E+000, 5.1880144E-004, 0.0000000E+000, 8.3724753E+003
 1.6900043E+002, 1.6904290E+001, 0.0000000E+000,-7.6670509E+000, 8.9176398E-008,-9.7230402E+000, 0.0000000E+000,-5.3586923E-002, 0.0000000E+000,-4.0900312E-001,-5.3938751E-001, 0.0000000E+000, 5.1570999E-004, 0.0000000E+000, 8.3717223E+003
